index,content
17,highlight british pm may main comment brexitflorence italy reuters british prime minister theresa setting plan future tie european union speech hope help spur negotiation country s divorce bloc highlight speech followup questionandanswer session reporter implementation period people continue able come live work uk registration system essential preparation new regime today consideration point implementation period year clearly people business public service plan set change relationship uk eu implementation period access s market continue current term britain continue existing security measure know business particular welcome certainty provide may asked think deal brexit better bad deal continue think that course leave end march 2019 negotiation continuing potentially quite close time want partner fear need pay receive remainder current budget plan result decision leave uk honour commitment period membership and forward want continue working way promote longterm economic development continent includes continuing specific policy programme greatly uk eu s joint advantage promote science education culture promote mutual security time right eu citizen uk uk citizen overseas diverge want incorporate agreement fully uk law make sure uk court refer directly it uncertainty underlying eu law want uk court able account judgement european court justice view ensuring consistent interpretation basis hope team reach firm agreement quickly membership united kingdom totally felt home european union profound pooling sovereignty crucial feature european union permit unprecedentedly deep cooperation brings benefit mean country minority accept decision want affecting domestic matter market implication border british people decided leave eu global freetrading nation able chart way world many exciting time promise worrying one look ahead optimism commitment defence advance shared value undimmed determination defend stability security prosperity european neighbour friend remains steadfast
22,german political rival agree lottery meberlin reuters german chancellor angela merkel social democrat challenger martin schulz fighting hard vote sunday s national election nears thing common gambler merkel asked mass circulation newspaper bild won million euro lotto lottery said personally don t play lotto conservative leader trained physicist daughter pastor grew communist east merkel told paper donated money won award prize charitable group schulz european parliament president went college said didn t gamble ve played lotto life told bild wanted leave question success life chance lottery drum politician share similar view prayer merkel asked prayed win election said didn t pray concrete political result adding prayer personal matter schulz party trailing merkel s conservative double digit echoed view politician know s greater success
202,italy 5star movement vote leader di maio seen winningrome reuters member italy s antiestablishment 5star movement lead opinion poll national election early year began voting thursday elect leader candidate prime minister barring colossal surprise winner luigi di maio 31yearold lower house deputy groomed leader year beppe grillo comedian founded 5star protest movement 2009 party s supporter voting online dedicated platform linked grillo s blog reflecting 5star s credo internetbased direct democracy voting end 7 pm 1700 gmt thursday result known saturday announced 5star s annual threeday gathering adriatic coastal town rimini candidate di maio s victory considered formality italy s prominent popular politician seven rival local councillor virtually unknown 5star supporter people seen having chance decided run opening party accusation failing run proper contest roberto saviano author bestselling novel gomorra said facebook wanted run post help 5star pathetic situation saviano party member eligible probably risk di maio voting distorted hacking attack 5star s internet platform august anonymous hacker revealed broken obtain secret data 5star s member donor
557,ultraorthodox protester arrested violent clash jerusalemjerusalem reuters jewish ultraorthodox demonstrator protesting arrest prospective army conscript community clashed police jerusalem sunday men detained police said police used water canon mounted officer dispersed protest briefly turned violent near jerusalem s military recruiting office lie edge city s ultraorthodox neighborhood ultraorthodox seminary student gain exemption military service religious ground obtain exemption conscription procedure police said protest prompted man s arrest refused turn recruitment week israel s supreme court ruled part conscription law exempt seminary student unconstitutional gave government year resolve matter jewish israeli men woman called military service turn 18 police spokeswoman luba samri said protester blocked street threw stone police officer video footage showed officer kicking punching pushing demonstrator dragged street
576,india prime minister modi inaugurates controversial dam projectmumbai reuters prime minister narendra modi inaugurated india s biggest dam sunday ignoring warning environment group hundred thousand people lose livelihood controversial sardar sarovar dam narmada river country s western state gujarat provide power water big state dedicated people india narendra modi project beset controversy laying foundation stone prime minister jawaharlal nehru 1961 construction project began 1987 dam second biggest dam world grand coulee dam united state ahead inauguration modi said tweet project benefit lakh farmer help fulfill people s aspiration 1 lakh 100000 dam expected provide water 9000 village power generated dam shared state madhya pradesh maharashtra gujarat narmada bachao andolan nba led social activist medha patkar protesting project raising environmental concern construction dam suspended 1996 following stay supreme court allowed work resume year later condition patkar supporter started protest inauguration dam saturday opening gate raise level water risk displacing village today sad day india biggest people movement struggle narmada bacchao andolan ravi chellam executive director greenpeace india said statement sardar sarovar project signal ruin development ten thousand unsuspecting hapless poor farmer chellam added
972,quake pitch past present scarred mexico city districtmexico city reuters powerful earthquake rocked mexico city week terrifying echo deadly 1985 shock housing project raising tough question ready world s largest city major catastrophe epicenter thursday s 81 magnitude quake stronger disaster decade ago killed 5000 people mexico city toppling tower block historic central neighborhood tlatelolco mexico city major advance then regular earthquake simulation improved building regulation seismic alarm designed sound long shock resident time flee nearly 100 people known died latest quake capital expert noted tremor s epicenter mexico city time deeper 1985 warned wrong assume capital rest easy caution palpable tlatelolco antonio fonseca 66 longtime resident witnessed 1985 collapse tower block nuevo leon housing complex killed 200 people said memory event sparked panic attack neighborhood quake rolled city thursday m quite sure building reinforced said fonseca local history expert people wary ground began shaking september 1985 local worker laughed first continuing breakfast believed fonseca told nuevo leon fallen recalled later fonseca saw group child neighborhood s central plaza la tres culturas waiting school bus uniform caked white dust building s collapse time around resident feared worst street filled city quake hit near midnight cry praying hundred descended plaza stayed hour questioning safe return home minerva la paz uribe retiree living plaza unable evacuate father turned 104 day watched window neighbor scrambled escape people leave running dog leave screaming prepared no no prepared said group friend plaza murmured agreement 30 building tlatelolco rebuilt 1985 disaster dozen demolished mexico s new skyscraper include hydraulic shock absorber deep foundation safety feature prevalent sprawling periphery filled cheap cinderblock home like building collapsed thursday southern state oaxaca chiapas near epicenter situated intersection tectonic plate mexico world s earthquakeprone country capital particularly vulnerable location ancient lake bed government s widely panned response 1985 quake caused upheaval mexico credited weakening oneparty rule institutional revolutionary party pri 71 year pri finally voted 2000 sign government incompetence worse persist mexican news website animal politico monday reported thousand seismic alarm acquired government oaxaca year ago distributed appearing sale online auction site spokesman oaxaca s civil protection authority did immediately respond request comment mistrust government spurred form community group famous tlatelolco topos mole formed rescue squad dug survivor corps rubble 1985 traveled world offering assistance quake landslide disaster habit catching people guard georgina mendez schaafsma returning taking child school 1985 temblor struck tlatelolco horror realized sixyearold daughter home alone racing back mendez retrieved girl relative died nuevo leon collapse 70 mendez life building number floor removed 1985 quake stayed indoors tremor began thursday night belief mexico city better equipped today point catastrophe think prepared said nature stronger
1121,yrc worldwide say multiple terminal closed u southeastreuters yrc worldwide said monday multiple terminal closed georgia south carolina florida irma closed terminal included location atlanta valdosta albany georgia charleston columbia florence south carolina jacksonville miami orlando tampa florida
1192,irma evacuee hotel warm welcome georgiaatlanta reuters hundred thousand floridian flee hurricane irma people state georgia opened home stranger emerged hourslong traffic jam hotel campground booked solid authority florida ordered state s population 63 million people evacuate ahead hurricane s expected landfall sunday stayed put left home drove neighboring georgia initially stay church atlanta appealing donation mattress blanket shelter hotel motel interstate 75 heading north city florida reportedly capacity week homeschool teacher mary hoyt decided needed done helped atlanta hurricane solidarity informal network work word mouth local news medium attention far managed match 75 evacuee family home atlanta one settled way said hoyt life city s eastern suburb decatur 300 home counting available people amazingly generous atlanta motor speedway meanwhile staff accustomed accommodating thousand camper nascar stock car racing event opened facility hampton 25 mile 40 km south atlanta free seeking refuge georgia coast resident locking home heading inland irma hit saturday lane interstate 16 run west historic savannah turned inland evacuating traffic only campsite place like indian spring state park near small town flovilla mile km east interstate 75 full said park manager katherine darsey lot florida license tag here darsey said adding people welcome use parking lot overnight needed safe place rest airbnb website listed 85 home georgia florida saturday evening available free irma evacuee property owner said airbnb spokeswoman crystal davis evacuee fourlegged friend seeking safety animal shelter busier usual pet displaced texas louisiana month hurricane harvey reported arrival florida equestrian center alpharetta atlanta suburb agreed house 150 horse florida free said director matt casey horse arrived saturday afternoon way cat paisley 40 mile 60 km north orlando en route sanctuary indiana spooked traffic accident driven atlanta 2yearold calico named coco jumped car s window darted wood ve heartsick it said owner cindy voelz 55 frightened voelz staying friend city look coco said really appreciates help searching volunteer atlanta animal shelter t believe nice here said
1253,visit cartagena pope honor slave slave role modelbogotacartagena colombia reuters pope francis sunday pay homage social justice legacy role model saint peter claver ministered slave colombia 1600s defying spanish colonial master treated chattel francis wrap fiveday trip stop cartagena walled caribbean port city gateway slave trade new world there expected hammer home message colombia need address social inequality struggle nurture fledgling peace process end 50year civil war spanishborn claver died 1654 revered latin america particularly fellow jesuit like francis groundbreaking work era s poor marginalized claver begged jesuit superior spain send cartagena minister victim brutal transatlantic slave trade african captive bought sold colonial cartagena s cobblestone street boarded slave ship arrived human cargo distributing food board later ministering sick dying hut beach francis defense poor downtrodden major plank papacy greatly influenced claver s story day young jesuit seminarian native buenos aire lot similarity resonate pope francis young latino jesuit transformative encounter poor said father sean salai jesuit priest author book saint influenced francis encounter poor men moved direct relationship god s people salai said phone interview base san antonio texas letter called slave slave forever encounter poor transformed him like pope francis gave idea doing doctorate theology closer people salai said cartagena s colonial historic district colombia s tourist destination city like country deep socioeconomic racial division poor afrocolombian street vendor sell coral pearl jewelry coconut milk tropical fruit tourist step church named claver remains kept glass altar francis pray remains bless participant charity program visit home today s jesuit help 300 member city s poor afrocolombian community came receive pope s blessing hear him said liney galindo 32 northern barranquilla god enlighten bring message forgiveness reconciliation wisdom u francis meet homeless people young girl church program prevent child prostitution city young people victim sex tourism exploited welloff local foreigner cartagena s archbishop jorge jimenez hope pope s presence boost program need able expand problem really big jimenez said interview
1310,factbox agricultural export vulnerable irmareuters following agricultural export volume key region u atlantic coast impacted hurricane irma irma powerful atlantic storm century expected hit florida sunday morning bringing massive damage wind flooding killed 21 people left catastrophic destruction way eastern caribbean nearly half u poultry export transit port percentage total u export source u department agriculture soy transportation coalition norfolk region 1 soybean 4 percent 2 grain product cereal flour 3 percent 3 bulk grain 2 percent 4 grocery item 10 percent 5 animal feed 3 percent addition 18 percent u soybean oil export leave norfolk port region 8 percent meat export 5 percent poultry shipment tonnage port 1 poultry 32 percent 2 raw cotton 16 percent 3 animal feed 1 percent 4 grocery item 3 percent 5 bulb seed 18 percent 1 grocery item 8 percent 2 poultry 2 percent 3 nonalcoholic beverage 3 percent 4 fruit 3 percent 5 meat 1 percent 1 poultry 9 percent 2 grocery item 8 percent 3 beer ale 25 percent 4 animal feed 1 percent 5 nonalcoholic beverage 6 percent 1 grocery item 7 percent 2 nonalcoholic beverage 9 percent 3 grapefruit 31 percent 4 citrus fruit juice 12 percent 5 poultry 1 percent
